código,nombre,poblaciónUrbana,poblaciónRural,departamento,esCapital
60,Manaure,48602,63501,La Guajira,0
635,Maní,7534,3596,Casanare,0
19,Manizales,371345,27529,Caldas,1
958,Manta,1296,3436,Cundinamarca,0
328,Manzanares,9929,13183,Caldas,0
439,Mapiripán,1389,16272,Meta,0
1053,Mapiripana,0,2816,Guainía,0
682,Margarita,1760,8206,Bolívar,0
134,María La Baja,21519,26920,Bolívar,0
119,Marinilla,43570,11430,Antioquia,0
814,Maripí,972,6452,Boyacá,0
219,Mariquita,24279,9050,Tolima,0
722,Marmato,1063,8099,Caldas,0
515,Marquetalia,6475,8525,Caldas,0
322,Marsella,13535,9965,Risaralda,0
1025,Marulanda,1286,2110,Caldas,0
915,Matanza,1090,4148,Santander,0
2,Medellín,2479990,28462,Antioquia,1
674,Medina,3906,6228,Cundinamarca,0
246,Medio Atrato,1133,29329,Chocó,0
552,Medio Baudó,637,13113,Chocó,0
467,Medio San Juan,5978,10706,Chocó,0
191,Melgar,30070,6269,Tolima,0
429,Mercaderes,5149,12956,Cauca,0
627,Mesetas,3743,7611,Meta,0
691,Miraflores,5710,4069,Boyacá,0
523,Miraflores,3563,11207,Guaviare,0
166,Miranda,29174,11281,Cauca,0
1109,Mirití-Paraná,0,1525,Amazonas,0
479,Mistrató,4287,12024,Risaralda,0
234,Mitú,16302,15559,Vaupés,1
159,Mocoa,35066,7816,Putumayo,1
646,Mogotes,3861,7024,Santander,0
926,Molagavita,769,4361,Santander,0
517,Momil,9568,5394,Córdoba,0
150,Mompox,26137,18323,Bolívar,0
963,Mongua,1614,3043,Boyacá,0
941,Monguí,2816,2169,Boyacá,0
363,Moniquirá,10590,10755,Boyacá,0
264,Moñitos,6958,20901,Córdoba,0
874,Montebello,2011,4066,Antioquia,0
356,Montecristo,11408,10334,Bolívar,0
74,Montelíbano,67224,17788,Córdoba,0
162,Montenegro,33955,7479,Quindío,0
16,Montería,352388,101644,Córdoba,1
513,Monterrey,12697,2323,Casanare,0
360,Morales,5944,15557,Bolívar,0
289,Morales,1562,24605,Cauca,0
1006,Morelia,1923,1913,Caquetá,0
1114,Morichal Nuevo,0,1247,Guainía,0
526,Morroa,6710,7873,Sucre,0
73,Mosquera,83520,3434,Cundinamarca,0
463,Mosquera,5963,10806,Nariño,0
774,Motavita,905,7290,Boyacá,0
936,Murillo,1486,3532,Tolima,0
960,Murindó,959,3733,Antioquia,0
369,Mutatá,5654,15423,Antioquia,0
1010,Mutiscua,531,3216,Norte de Santander,0
737,Muzo,5335,3579,Boyacá,0
447,Nariño,2505,14981,Antioquia,0
1084,Nariño,1460,758,Cundinamarca,0
945,Nariño,3739,1195,Nariño,0
854,Nátaga,2214,4173,Huila,0
341,Natagaima,15124,7392,Tolima,0
272,Nechí,14510,12728,Antioquia,0
96,Necoclí,16274,49389,Antioquia,0
243,Neira,16434,14306,Caldas,0
20,Neiva,326263,19648,Huila,1
554,Nemocón,5751,7956,Cundinamarca,0
414,Nilo,4848,14008,Cundinamarca,0
838,Nimaima,2948,3862,Cundinamarca,0
475,Nobsa,6474,9879,Boyacá,0
780,Nocaima,1882,6173,Cundinamarca,0
860,Norcasia,4293,2029,Caldas,0
921,Norosí,2116,3061,Bolívar,0
784,Nóvita,3226,4730,Chocó,0
383,Nueva Granada,8387,11826,Magdalena,0
846,Nuevo Colón,1321,5281,Boyacá,0
743,Nunchía,2139,6728,Casanare,0
753,Nuquí,3809,4859,Chocó,0
510,Obando,11212,3847,Valle del Cauca,0
956,Ocamonte,670,4078,Santander,0
65,Ocaña,90620,9121,Norte de Santander,0
612,Oiba,5630,6185,Santander,0
1051,Oicatá,304,2527,Boyacá,0
1033,Olaya,264,3014,Antioquia,0
236,Olaya Herrera,9924,21669,Nariño,0
939,Onzaga,1233,3770,Santander,0
548,Oporapa,3981,9845,Huila,0
118,Orito,25170,29848,Putumayo,0
